  Nz=Nparall      Px    
 -3.5000E+01  4.0455E-05
 -3.4988E+01  3.5934E-05
 -3.4976E+01  2.8927E-05
 -3.4964E+01  2.1468E-05
 -3.4952E+01  1.5401E-05
 -3.4940E+01  1.1740E-05
 -3.4929E+01  1.0557E-05
 -3.4917E+01  1.1349E-05
 -3.4905E+01  1.3629E-05
 -3.4893E+01  1.7396E-05
 -3.4881E+01  2.3208E-05
 -3.4869E+01  3.1816E-05
 -3.4857E+01  4.3515E-05
 -3.4845E+01  5.7570E-05
 -3.4833E+01  7.2013E-05
 -3.4821E+01  8.3999E-05
 -3.4809E+01  9.0624E-05
 -3.4798E+01  8.9917E-05
 -3.4786E+01  8.1600E-05
 -3.4774E+01  6.7311E-05
 -3.4762E+01  5.0160E-05
 -3.4750E+01  3.3779E-05
 -3.4738E+01  2.1231E-05
 -3.4726E+01  1.4160E-05
 -3.4714E+01  1.2501E-05
 -3.4702E+01  1.4801E-05
 -3.4690E+01  1.8967E-05
 -3.4678E+01  2.3126E-05
 -3.4667E+01  2.6223E-05
 -3.4655E+01  2.8176E-05
 -3.4643E+01  2.9564E-05
 -3.4631E+01  3.1075E-05
 -3.4619E+01  3.2973E-05
 -3.4607E+01  3.4869E-05
 -3.4595E+01  3.5866E-05
 -3.4583E+01  3.5010E-05
 -3.4571E+01  3.1808E-05
 -3.4559E+01  2.6562E-05
 -3.4547E+01  2.0351E-05
 -3.4536E+01  1.4655E-05
 -3.4524E+01  1.0784E-05
 -3.4512E+01  9.3693E-06
 -3.4500E+01  1.0126E-05
 -3.4488E+01  1.2001E-05
 -3.4476E+01  1.3635E-05
 -3.4464E+01  1.3928E-05
 -3.4452E+01  1.2484E-05
 -3.4440E+01  9.7380E-06
 -3.4428E+01  6.7361E-06
 -3.4416E+01  4.6698E-06
 -3.4405E+01  4.3763E-06
 -3.4393E+01  6.0102E-06
 -3.4381E+01  9.0109E-06
 -3.4369E+01  1.2360E-05
 -3.4357E+01  1.5000E-05
 -3.4345E+01  1.6225E-05
 -3.4333E+01  1.5887E-05
 -3.4321E+01  1.4360E-05
 -3.4309E+01  1.2292E-05
 -3.4297E+01  1.0297E-05
 -3.4285E+01  8.7253E-06
 -3.4274E+01  7.5918E-06
 -3.4262E+01  6.6898E-06
 -3.4250E+01  5.7906E-06
 -3.4238E+01  4.8218E-06
 -3.4226E+01  3.9299E-06
 -3.4214E+01  3.4018E-06
 -3.4202E+01  3.4932E-06
 -3.4190E+01  4.2628E-06
 -3.4178E+01  5.5008E-06
 -3.4166E+01  6.7945E-06
 -3.4154E+01  7.7004E-06
 -3.4143E+01  7.9396E-06
 -3.4131E+01  7.5206E-06
 -3.4119E+01  6.7296E-06
 -3.4107E+01  5.9937E-06
 -3.4095E+01  5.6846E-06
 -3.4083E+01  5.9563E-06
 -3.4071E+01  6.6924E-06
 -3.4059E+01  7.5811E-06
 -3.4047E+01  8.2750E-06
 -3.4035E+01  8.5530E-06
 -3.4023E+01  8.4048E-06
 -3.4012E+01  8.0014E-06
 -3.4000E+01  7.5755E-06
 -3.3988E+01  7.2804E-06
 -3.3976E+01  7.1064E-06
 -3.3964E+01  6.9013E-06
 -3.3952E+01  6.4842E-06
 -3.3940E+01  5.7930E-06
 -3.3928E+01  4.9808E-06
 -3.3916E+01  4.4016E-06
 -3.3904E+01  4.4796E-06
 -3.3892E+01  5.5175E-06
 -3.3881E+01  7.5324E-06
 -3.3869E+01  1.0202E-05
 -3.3857E+01  1.2953E-05
 -3.3845E+01  1.5157E-05
 -3.3833E+01  1.6354E-05
 -3.3821E+01  1.6393E-05
 -3.3809E+01  1.5455E-05
 -3.3797E+01  1.3932E-05
 -3.3785E+01  1.2242E-05
 -3.3773E+01  1.0667E-05
 -3.3761E+01  9.2929E-06
 -3.3750E+01  8.0583E-06
 -3.3738E+01  6.8956E-06
 -3.3726E+01  5.8598E-06
 -3.3714E+01  5.1775E-06
 -3.3702E+01  5.1752E-06
 -3.3690E+01  6.1171E-06
 -3.3678E+01  8.0357E-06
 -3.3666E+01  1.0646E-05
 -3.3654E+01  1.3404E-05
 -3.3642E+01  1.5693E-05
 -3.3630E+01  1.7070E-05
 -3.3619E+01  1.7458E-05
 -3.3607E+01  1.7200E-05
 -3.3595E+01  1.6952E-05
 -3.3583E+01  1.7459E-05
 -3.3571E+01  1.9314E-05
 -3.3559E+01  2.2810E-05
 -3.3547E+01  2.7924E-05
 -3.3535E+01  3.4424E-05
 -3.3523E+01  4.2018E-05
 -3.3511E+01  5.0438E-05
 -3.3499E+01  5.9416E-05
 -3.3488E+01  6.8548E-05
 -3.3476E+01  7.7146E-05
 -3.3464E+01  8.4193E-05
 -3.3452E+01  8.8485E-05
 -3.3440E+01  8.8973E-05
 -3.3428E+01  8.5194E-05
 -3.3416E+01  7.7634E-05
 -3.3404E+01  6.7848E-05
 -3.3392E+01  5.8258E-05
 -3.3380E+01  5.1636E-05
 -3.3368E+01  5.0433E-05
 -3.3357E+01  5.6157E-05
 -3.3345E+01  6.8998E-05
 -3.3333E+01  8.7796E-05
 -3.3321E+01  1.1035E-04
 -3.3309E+01  1.3390E-04
 -3.3297E+01  1.5568E-04
 -3.3285E+01  1.7328E-04
 -3.3273E+01  1.8492E-04
 -3.3261E+01  1.8944E-04
 -3.3249E+01  1.8636E-04
 -3.3237E+01  1.7586E-04
 -3.3226E+01  1.5887E-04
 -3.3214E+01  1.3710E-04
 -3.3202E+01  1.1300E-04
 -3.3190E+01  8.9470E-05
 -3.3178E+01  6.9423E-05
 -3.3166E+01  5.5188E-05
 -3.3154E+01  4.7980E-05
 -3.3142E+01  4.7611E-05
 -3.3130E+01  5.2574E-05
 -3.3118E+01  6.0475E-05
 -3.3106E+01  6.8694E-05
 -3.3095E+01  7.5043E-05
 -3.3083E+01  7.8204E-05
 -3.3071E+01  7.7845E-05
 -3.3059E+01  7.4412E-05
 -3.3047E+01  6.8746E-05
 -3.3035E+01  6.1705E-05
 -3.3023E+01  5.3953E-05
 -3.3011E+01  4.5947E-05
 -3.2999E+01  3.8080E-05
 -3.2987E+01  3.0834E-05
 -3.2976E+01  2.4812E-05
 -3.2964E+01  2.0617E-05
 -3.2952E+01  1.8607E-05
 -3.2940E+01  1.8664E-05
 -3.2928E+01  2.0121E-05
 -3.2916E+01  2.1909E-05
 -3.2904E+01  2.2901E-05
 -3.2892E+01  2.2316E-05
 -3.2880E+01  1.9993E-05
 -3.2868E+01  1.6439E-05
 -3.2856E+01  1.2595E-05
 -3.2845E+01  9.4500E-06
 -3.2833E+01  7.6623E-06
 -3.2821E+01  7.3639E-06
 -3.2809E+01  8.2250E-06
 -3.2797E+01  9.7272E-06
 -3.2785E+01  1.1495E-05
 -3.2773E+01  1.3504E-05
 -3.2761E+01  1.6056E-05
 -3.2749E+01  1.9513E-05
 -3.2737E+01  2.3948E-05
 -3.2725E+01  2.8883E-05
 -3.2714E+01  3.3291E-05
 -3.2702E+01  3.5908E-05
 -3.2690E+01  3.5721E-05
 -3.2678E+01  3.2448E-05
 -3.2666E+01  2.6756E-05
 -3.2654E+01  2.0106E-05
 -3.2642E+01  1.4261E-05
 -3.2630E+01  1.0641E-05
 -3.2618E+01  9.8156E-06
 -3.2606E+01  1.1330E-05
 -3.2594E+01  1.3961E-05
 -3.2583E+01  1.6274E-05
 -3.2571E+01  1.7247E-05
 -3.2559E+01  1.6684E-05
 -3.2547E+01  1.5233E-05
 -3.2535E+01  1.4020E-05
 -3.2523E+01  1.4060E-05
 -3.2511E+01  1.5742E-05
 -3.2499E+01  1.8608E-05
 -3.2487E+01  2.1542E-05
 -3.2475E+01  2.3279E-05
 -3.2463E+01  2.2986E-05
 -3.2452E+01  2.0653E-05
 -3.2440E+01  1.7110E-05
 -3.2428E+01  1.3658E-05
 -3.2416E+01  1.1494E-05
 -3.2404E+01  1.1182E-05
